person,source,company,role,url,location,work_mode,salary,company_type,fit_score,recommendation,why_fit,risks,status,decision,skip_reason,first_seen_at,last_seen_at,follow_up_at,next_action
Siddharth Saminathan,linkedin,Example Corp,Senior AI Engineer,https://linkedin.com/jobs/view/123,Bangalore,,,,64,MAYBE,"Senior AI Engineer is a direct target role, and Bangalore is a major tech hub with good opportunities.","Unknown company type could be a rejected type (consulting, body-shop, services) | Missing salary information may not meet expectations | No work mode specified; could be remote or in-office mismatch",SHORTLISTED,,,2026-05-13T19:08:34.559024+00:00,2026-05-13T19:11:18.857912+00:00,,
Siddharth Saminathan,greenhouse,Twilio,Senior Software Engineer,https://job-boards.greenhouse.io/twilio/jobs/7234666,Remote - Ireland,,,,30,SKIP,Twilio is a reputable SaaS company with strong brand value and remote work flexibility.,"Role is not AI-specific, which is the user's primary career focus. | Remote Ireland location may require work authorization and inconvenient timezone.",DISCOVERED,,,2026-05-13T19:08:34.559561+00:00,2026-05-13T19:08:34.559561+00:00,,
Siddharth Saminathan,greenhouse,Cloudflare,Senior Forward Deployed Engineer,https://boards.greenhouse.io/cloudflare/jobs/7731685?gh_jid=7731685,Hybrid,,,,67,MAYBE,Cloudflare is a top-tier tech brand with good compensation potential and career growth; hybrid work mode may offer flexibility.,"Role may require Go/Rust/Kubernetes skills which user rates as weak | Forward Deployed Engineer often involves customer-facing deployment, not pure AI engineering | Missing salary and location information makes it hard to assess fit",SHORTLISTED,,,2026-05-13T19:08:34.559947+00:00,2026-05-13T19:11:18.856562+00:00,,
Siddharth Saminathan,unknown,Datadog,Staff AI Engineer - Notebooks,https://careers.datadoghq.com/detail/7627429/?gh_jid=7627429,"France, Remote; Germany, Remote; Ireland, Remote; Italy, Remote; Spain, Remote; Switzerland, Remote",,,,62,MAYBE,"It's a Staff AI Engineer role at Datadog (preferred devtools/SaaS company), fully remote, and leverages AI/LLM skills.","Location restricted to European countries, user in India may not be eligible | No salary information provided, uncertainty about meeting salary floor | No skills required listed, unknown if user's strengths perfectly match",SHORTLISTED,,,2026-05-13T19:08:34.560131+00:00,2026-05-13T19:11:18.859874+00:00,,
Siddharth Saminathan,greenhouse,Anthropic,"Applied AI Architect, Industries",https://job-boards.greenhouse.io/anthropic/jobs/4977626008,"Paris, France",,,,60,MAYBE,"Anthropic is a top-tier AI-native company, and the 'Applied AI Architect' role likely leverages the user's strong LLM, RAG, and agentic workflow skills.","Relocation to Paris required, with potential visa and cultural adjustment challenges | No salary or work mode details provided, making it hard to assess compensation and flexibility",SHORTLISTED,,,2026-05-13T19:08:34.560320+00:00,2026-05-13T19:11:18.861032+00:00,,
Siddharth Saminathan,unknown,MongoDB,Senior Developer Advocate,https://www.mongodb.com/careers/job/?gh_jid=7241758,Ireland,,,,32,SKIP,"MongoDB is a strong devtools brand and could offer exposure to database ecosystem, but this is not the user's career focus.","Role type mismatch: user targets AI product/engineering roles, not developer advocacy | Location in Ireland: user is likely India-based, requiring relocation | No details on salary, work mode, or required skills to evaluate fit",DISCOVERED,,,2026-05-13T19:08:34.560529+00:00,2026-05-13T19:08:34.560529+00:00,,
Siddharth Saminathan,unknown,MongoDB,Senior Solutions Architect,https://www.mongodb.com/careers/job/?gh_jid=7560436,Amsterdam,,,,38,SKIP,"MongoDB is a well-known, stable product company with strong brand value.",Relocation required to Amsterdam | Role mismatch with AI engineering aspirations | No salary or work mode information provided,DISCOVERED,,,2026-05-13T19:08:34.560764+00:00,2026-05-13T19:08:34.560764+00:00,,
Siddharth Saminathan,unknown,MongoDB,Software Engineer 3,https://www.mongodb.com/careers/job/?gh_jid=7597723,Gurugram,,,,64,MAYBE,"Working at MongoDB offers high brand value, stability, and potential to work on impactful infrastructure software in a product company.","Role likely not AI-specific, user may be underutilized | Salary unknown could be below user's floor of 25L | No work mode or team details to assess fit",SHORTLISTED,,,2026-05-13T19:08:34.561037+00:00,2026-05-13T19:11:18.858780+00:00,,
Siddharth Saminathan,unknown,MongoDB,Solutions Architect,https://www.mongodb.com/careers/job/?gh_jid=7621674,South Korea,,,,25,SKIP,MongoDB is a strong product/SaaS brand that user's profile indicates preference for.,"Role mismatch: User targets AI Engineer roles, not Solutions Architect | Location mismatch: Job is in South Korea, user likely based in India | Lack of information: No details on skills, salary, or work mode to assess fit",DISCOVERED,,,2026-05-13T19:08:34.561316+00:00,2026-05-13T19:08:34.561316+00:00,,
Siddharth Saminathan,unknown,MongoDB,Senior Solutions Architect,https://www.mongodb.com/careers/job/?gh_jid=7920855,Stockholm; Sweden,,,,25,SKIP,"MongoDB is a strong product company (SaaS/devtools) with good brand value, and the architect role could offer broader systems exposure.","Location mismatch: Stockholm, Sweden vs India; requires relocation or remote work which is uncertain. | Role mismatch: Solutions Architect differs from user's target AI Product Engineer/Applied AI roles. | Unknown work mode and salary may not meet user's expectations.",DISCOVERED,,,2026-05-13T19:08:34.561610+00:00,2026-05-13T19:08:34.561610+00:00,,
Siddharth Saminathan,unknown,MongoDB,Solutions Architect,https://www.mongodb.com/careers/job/?gh_jid=7815444,Munich,,,,28,SKIP,"MongoDB is a strong brand with a stable product-focused company, potentially offering good career growth in a different domain.","Role is not aligned with your target AI engineering positions | Location in Munich, Germany requires international relocation | Unknown work mode and salary create uncertainty",DISCOVERED,,,2026-05-13T19:08:34.561905+00:00,2026-05-13T19:08:34.561905+00:00,,
Siddharth Saminathan,unknown,MongoDB,Senior Solutions Architect,https://www.mongodb.com/careers/job/?gh_jid=7157100,Shenzhen,,,,28,SKIP,MongoDB is a strong product brand (database SaaS) which aligns with user's preference for product companies.,"Role mismatch: user targets AI engineering, not solutions architecture | Location in Shenzhen, China – no indication of remote or relocation support | No salary, skills, or description provided, making fit assessment unreliable",DISCOVERED,,,2026-05-13T19:08:34.562270+00:00,2026-05-13T19:08:34.562270+00:00,,
Siddharth Saminathan,unknown,MongoDB,Solutions Architect,https://www.mongodb.com/careers/job/?gh_jid=7815443,Hamburg,,,,42,SKIP,"MongoDB is a strong brand in the SaaS/product space, which matches user's preferred company type, and the role could offer exposure to large-scale systems.",Potential mismatch in role expectations (architecture vs. AI engineering) | Location in Hamburg may require relocation or visa sponsorship not preferred | No salary or work mode details to evaluate compensation and flexibility,SHORTLISTED,,,2026-05-13T19:08:34.562626+00:00,2026-05-13T19:11:18.865614+00:00,,
Siddharth Saminathan,unknown,MongoDB,Senior Solutions Architect,https://www.mongodb.com/careers/job/?gh_jid=7595025,Dublin; Ireland,,,,50,MAYBE,Unable to determine — LLM unavailable,Automated scoring failed — review manually,SHORTLISTED,,,2026-05-13T19:08:34.562982+00:00,2026-05-13T19:11:18.861816+00:00,,
Siddharth Saminathan,unknown,MongoDB,Solutions Architect,https://www.mongodb.com/careers/job/?gh_jid=7815442,Frankfurt,,,,47,SKIP,"MongoDB is a well-known, stable product company with strong brand value, which aligns with user's preferred company types.","Location mismatch: Frankfurt vs India, likely requiring relocation or remote not confirmed | Role not AI-focused: Solutions Architect at MongoDB likely involves database architecture, not the applied AI roles user targets | User has weak system design interviews, which may be required for this role",SHORTLISTED,,,2026-05-13T19:08:34.563357+00:00,2026-05-13T19:11:18.862835+00:00,,
Siddharth Saminathan,unknown,MongoDB,Senior Solutions Architect,https://www.mongodb.com/careers/job/?gh_jid=7581417,Bengaluru,,,,35,SKIP,"MongoDB is a strong product company with good brand value, and Bengaluru is a tech hub in India.",Role is customer-facing and not hands-on AI engineering | No skills match between job posting and user's AI/ML stack,DISCOVERED,,,2026-05-13T19:08:34.563745+00:00,2026-05-13T19:08:34.563745+00:00,,
Siddharth Saminathan,unknown,MongoDB,Solutions Architect,https://www.mongodb.com/careers/job/?gh_jid=7815441,Düsseldorf,,,,46,SKIP,MongoDB is a strong brand in the database space and might offer competitive compensation and stability.,"Location is Düsseldorf, Germany, which likely requires relocation or remote work for an Indian-based candidate. | Role is a Solutions Architect, which may be pre-sales/consulting oriented and not aligned with AI engineering career goals. | No job description or required skills available, making it impossible to assess fit.",SHORTLISTED,,,2026-05-13T19:08:34.564201+00:00,2026-05-13T19:11:18.863803+00:00,,
Siddharth Saminathan,unknown,MongoDB,Solutions Architect,https://www.mongodb.com/careers/job/?gh_jid=7721912,Berlin,,,,22,SKIP,"MongoDB is a strong devtools brand with good stability, appealing to someone interested in the data infrastructure space.","Role is not AI engineering; likely pre-sales or technical consulting, not hands-on building. | Location in Berlin is outside India, requiring relocation or remote work with timezone issues.",DISCOVERED,,,2026-05-13T19:08:34.564661+00:00,2026-05-13T19:08:34.564661+00:00,,
Siddharth Saminathan,unknown,MongoDB,Solutions Architect,https://www.mongodb.com/careers/job/?gh_jid=7820448,Seoul,,,,43,SKIP,MongoDB is a prestigious SaaS company with strong brand value and stability.,"Role is outside your target AI/engineering roles | Requires relocation to Seoul, India not mentioned | Your weaker areas (system design, Kubernetes) are likely critical for this role",SHORTLISTED,,,2026-05-13T19:08:34.565083+00:00,2026-05-13T19:11:18.864602+00:00,,
